sample_id,mission,medication,formulation,dosage,source_identifier,outcome_variable,flight_api_percent,ground_control_api_percent,relative_percent_diff_vs_control,outcome_unit,outcome_source,extraction_method,extraction_confidence,p_value_exposure_effect
DS01_11,SpX-17,Epinephrine,Autoinjector,0.1 mg/mL,Nowadly 2026 Figure 3B,percent_api_remaining_of_label,100.8,93.1,8.27,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),P=0.0286
DS01_12,NG-11,Diphenhydramine,Solution,50 mg/mL,Nowadly 2026 Figure 3E,percent_api_remaining_of_label,96.4,99.2,-2.82,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),P=0.0125
DS01_13,NG-11,Lidocaine,Solution,10 mg/mL,Nowadly 2026 Figure 3G,percent_api_remaining_of_label,78.1,80.2,-2.62,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),ns
DS01_14,NG-11,Promethazine,Solution,25 mg/mL,Nowadly 2026 Figure 3C,percent_api_remaining_of_label,76.5,86.1,-11.15,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),P<0.0001
DS01_15,SpX-18,Caffeine,Tablet,200 mg,Nowadly 2026 Figure 2C,percent_api_remaining_of_label,99.8,103.6,-3.67,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),P=0.0001
DS01_16,SpX-18,Diazepam,Solution,5 mg/mL,Nowadly 2026 Figure 2A,percent_api_remaining_of_label,95.8,102.1,-6.17,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),ns
DS01_17,SpX-18,Diphenhydramine,Capsule,25 mg,Nowadly 2026 Figure 3A,percent_api_remaining_of_label,93.8,94.2,-0.42,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),ns
DS01_18,SpX-18,Diphenhydramine,Solution,50 mg/mL,Nowadly 2026 Figure 2B,percent_api_remaining_of_label,94.1,95.2,-1.16,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),ns
DS01_19,SpX-18,Ketamine,Solution,50 mg/mL,Nowadly 2026 Figure 3B,percent_api_remaining_of_label,99.4,91.8,8.28,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),P=0.0286
DS01_20,SpX-18,Lidocaine,Solution,10 mg/mL,Nowadly 2026 Figure 3D,percent_api_remaining_of_label,79.8,81.3,-1.85,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),ns
DS01_21,SpX-18,Naloxone,Solution,1 mg/mL,Nowadly 2026 Figure 3E,percent_api_remaining_of_label,94.8,97.9,-3.17,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),P=0.0125
DS01_22,SpX-18,Promethazine,Solution,25 mg/mL,Nowadly 2026 Figure 3F,percent_api_remaining_of_label,92.5,95.8,-3.44,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),P=0.0080
DS01_23,SpX-18,Promethazine,Tablet,25 mg,Nowadly 2026 Figure 3G,percent_api_remaining_of_label,76.4,78.9,-3.17,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),ns
DS01_24,SpX-20,Caffeine,Tablet,200 mg,Nowadly 2026 Figure 2A,percent_api_remaining_of_label,92.1,98.6,-6.59,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),ns
DS01_25,SpX-20,Diazepam,Solution,5 mg/mL,Nowadly 2026 Figure 3A,percent_api_remaining_of_label,91.9,93.5,-1.71,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),ns
DS01_26,SpX-20,Diphenhydramine,Capsule,25 mg,Nowadly 2026 Figure 2B,percent_api_remaining_of_label,93.9,94.7,-0.84,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),ns
DS01_27,SpX-20,Diphenhydramine,Solution,50 mg/mL,Nowadly 2026 Figure 3B,percent_api_remaining_of_label,98.7,92.9,6.24,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),P=0.0286
DS01_28,SpX-20,Ketamine,Solution,50 mg/mL,Nowadly 2026 Figure 3D,percent_api_remaining_of_label,78.5,80.9,-2.97,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),ns
DS01_29,SpX-20,Lidocaine,Solution,10 mg/mL,Nowadly 2026 Figure 3E,percent_api_remaining_of_label,95.3,98.1,-2.85,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),P=0.0125
DS01_30,SpX-20,Naloxone,Solution,1 mg/mL,Nowadly 2026 Figure 3F,percent_api_remaining_of_label,91.8,95.1,-3.47,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),P=0.0080
DS01_31,SpX-20,Promethazine,Solution,25 mg/mL,Nowadly 2026 Figure 3G,percent_api_remaining_of_label,75.8,79.1,-4.17,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),ns
DS01_32,SpX-20,Promethazine,Tablet,25 mg,Nowadly 2026 Figure 2C,percent_api_remaining_of_label,98.1,102.4,-4.2,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),P=0.0001
