lot_id,api,mission,days_in_space,delta_api_percent,telemetry_coverage_pct,temp_mean_c,temp_min_c,temp_max_c,temp_sd_c,temp_p95_c,humidity_mean_pct,humidity_min_pct,humidity_max_pct,humidity_sd_pct,co2_mean_ppm,co2_max_ppm,co2_sd_ppm,co2_p95_ppm,spatial_relevance_grade,source,confidence
DS01_01,Caffeine,SpX-15,199,-5.2217,76.66,22.61,20.0,30.0,0.88,23.6,41.56,28.0,79.0,3.64,3503.75,9000.0,1514.28,7435.0,Grade C/D (ISS Cabin / Rodent Research Express Rack proxy),NASA OSDR Environmental Data Application (EDA),MEDIUM (Verified ECLSS sensor stream; partial temporal coverage)
DS01_12,Diphenhydramine,NG-11,132,8.2707,30.96,22.04,17.6,27.9,0.93,23.0,41.17,12.0,62.0,3.37,2680.17,3668.0,435.03,3246.0,Grade C/D (ISS Cabin / Rodent Research Express Rack proxy),NASA OSDR Environmental Data Application (EDA),MEDIUM (Verified ECLSS sensor stream; partial temporal coverage)
DS01_13,Lidocaine,NG-11,132,-2.8226,30.96,22.04,17.6,27.9,0.93,23.0,41.17,12.0,62.0,3.37,2680.17,3668.0,435.03,3246.0,Grade C/D (ISS Cabin / Rodent Research Express Rack proxy),NASA OSDR Environmental Data Application (EDA),MEDIUM (Verified ECLSS sensor stream; partial temporal coverage)
DS01_14,Promethazine,NG-11,132,-2.6185,30.96,22.04,17.6,27.9,0.93,23.0,41.17,12.0,62.0,3.37,2680.17,3668.0,435.03,3246.0,Grade C/D (ISS Cabin / Rodent Research Express Rack proxy),NASA OSDR Environmental Data Application (EDA),MEDIUM (Verified ECLSS sensor stream; partial temporal coverage)
DS01_15,Caffeine,SpX-18,166,-6.1704,21.24,22.0,14.3,26.0,0.81,23.8,41.8,27.0,56.0,3.56,2560.87,3581.0,278.8,2988.0,Grade C/D (ISS Cabin / Rodent Research Express Rack proxy),NASA OSDR Environmental Data Application (EDA),MEDIUM (Verified ECLSS sensor stream; partial temporal coverage)
DS01_16,Diazepam,SpX-18,166,-0.4246,21.24,22.0,14.3,26.0,0.81,23.8,41.8,27.0,56.0,3.56,2560.87,3581.0,278.8,2988.0,Grade C/D (ISS Cabin / Rodent Research Express Rack proxy),NASA OSDR Environmental Data Application (EDA),MEDIUM (Verified ECLSS sensor stream; partial temporal coverage)
DS01_17,Diphenhydramine,SpX-18,257,-1.1555,13.78,22.0,14.3,26.0,0.8,23.8,41.81,27.0,56.0,3.56,2561.5,3581.0,278.3,2985.4,Grade C/D (ISS Cabin / Rodent Research Express Rack proxy),NASA OSDR Environmental Data Application (EDA),MEDIUM (Verified ECLSS sensor stream; partial temporal coverage)
DS01_18,Diphenhydramine,SpX-18,257,8.2789,13.78,22.0,14.3,26.0,0.8,23.8,41.81,27.0,56.0,3.56,2561.5,3581.0,278.3,2985.4,Grade C/D (ISS Cabin / Rodent Research Express Rack proxy),NASA OSDR Environmental Data Application (EDA),MEDIUM (Verified ECLSS sensor stream; partial temporal coverage)
DS01_19,Ketamine,SpX-18,257,-1.845,13.78,22.0,14.3,26.0,0.8,23.8,41.81,27.0,56.0,3.56,2561.5,3581.0,278.3,2985.4,Grade C/D (ISS Cabin / Rodent Research Express Rack proxy),NASA OSDR Environmental Data Application (EDA),MEDIUM (Verified ECLSS sensor stream; partial temporal coverage)
DS01_20,Lidocaine,SpX-18,257,-3.1665,13.78,22.0,14.3,26.0,0.8,23.8,41.81,27.0,56.0,3.56,2561.5,3581.0,278.3,2985.4,Grade C/D (ISS Cabin / Rodent Research Express Rack proxy),NASA OSDR Environmental Data Application (EDA),MEDIUM (Verified ECLSS sensor stream; partial temporal coverage)
DS01_21,Naloxone,SpX-18,257,-3.4447,13.78,22.0,14.3,26.0,0.8,23.8,41.81,27.0,56.0,3.56,2561.5,3581.0,278.3,2985.4,Grade C/D (ISS Cabin / Rodent Research Express Rack proxy),NASA OSDR Environmental Data Application (EDA),MEDIUM (Verified ECLSS sensor stream; partial temporal coverage)
DS01_22,Promethazine,SpX-18,257,-3.1686,13.78,22.0,14.3,26.0,0.8,23.8,41.81,27.0,56.0,3.56,2561.5,3581.0,278.3,2985.4,Grade C/D (ISS Cabin / Rodent Research Express Rack proxy),NASA OSDR Environmental Data Application (EDA),MEDIUM (Verified ECLSS sensor stream; partial temporal coverage)
DS01_23,Promethazine,SpX-18,257,-3.668,13.78,22.0,14.3,26.0,0.8,23.8,41.81,27.0,56.0,3.56,2561.5,3581.0,278.3,2985.4,Grade C/D (ISS Cabin / Rodent Research Express Rack proxy),NASA OSDR Environmental Data Application (EDA),MEDIUM (Verified ECLSS sensor stream; partial temporal coverage)
