lot_id,api,mission,formulation,launch_date,launch_datetime,arrival_date,docking_datetime,arrival_event,departure_datetime,landing_datetime,iss_exposure_hours,reported_days_launch_to_landing,total_spaceflight_hours,total_hours_precision,reconstructed_landing_date,reconstruction_status,candidate_proxy_start_date,candidate_proxy_end_date,candidate_window_status,legacy_start_date,legacy_end_date,legacy_end_shift_days,days_expired_at_analysis,expiration_at_launch,expiration_at_analysis,storage_location,spatial_relevance_grade,source,source_url_or_identifier,arrival_source,confidence,notes
DS01_11,Epinephrine,SpX-17,Autoinjector,2019-05-04,,2019-05-06,2019-05-06T13:32:00Z,robotic berthing; exact medication transfer time unknown,,,,248,5952,derived from published integer days; not exact timestamp duration,2020-01-07,launch date + reported integer days; NOT a verified landing,2019-05-06,2020-01-07,screening envelope only; includes unknown return transit and transfer periods,2019-05-06,2020-01-09,2,1338,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2019/05/06/spacex-cargo-craft-attached-to-station/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_12,Diphenhydramine,NG-11,Solution,2019-04-17,,2019-04-19,,robotic berthing; exact medication transfer time unknown,,,,132,3168,derived from published integer days; not exact timestamp duration,2019-08-27,launch date + reported integer days; NOT a verified landing,2019-04-19,2019-08-27,screening envelope only; includes unknown return transit and transfer periods,2019-04-19,2019-08-29,2,1065,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2019/04/19/astronaut-commands-robotic-arm-to-capture-cygnus-cargo-craft-2/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_13,Lidocaine,NG-11,Solution,2019-04-17,,2019-04-19,,robotic berthing; exact medication transfer time unknown,,,,132,3168,derived from published integer days; not exact timestamp duration,2019-08-27,launch date + reported integer days; NOT a verified landing,2019-04-19,2019-08-27,screening envelope only; includes unknown return transit and transfer periods,2019-04-19,2019-08-29,2,945,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2019/04/19/astronaut-commands-robotic-arm-to-capture-cygnus-cargo-craft-2/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_14,Promethazine,NG-11,Solution,2019-04-17,,2019-04-19,,robotic berthing; exact medication transfer time unknown,,,,132,3168,derived from published integer days; not exact timestamp duration,2019-08-27,launch date + reported integer days; NOT a verified landing,2019-04-19,2019-08-27,screening envelope only; includes unknown return transit and transfer periods,2019-04-19,2019-08-29,2,1096,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2019/04/19/astronaut-commands-robotic-arm-to-capture-cygnus-cargo-craft-2/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_15,Caffeine,SpX-18,Tablet,2019-07-25,2019-07-25T22:01:00Z,2019-07-27,,robotic berthing; exact medication transfer time unknown,,,,166,3984,derived from published integer days; not exact timestamp duration,2020-01-07,launch date + reported integer days; NOT a verified landing,2019-07-27,2020-01-07,screening envelope only; includes unknown return transit and transfer periods,2019-07-27,2020-01-09,2,670,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2019/07/27/dragon-installed-to-stations-harmony-module-for-cargo-operations/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_16,Diazepam,SpX-18,Solution,2019-07-25,2019-07-25T22:01:00Z,2019-07-27,,robotic berthing; exact medication transfer time unknown,,,,166,3984,derived from published integer days; not exact timestamp duration,2020-01-07,launch date + reported integer days; NOT a verified landing,2019-07-27,2020-01-07,screening envelope only; includes unknown return transit and transfer periods,2019-07-27,2020-01-09,2,1278,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2019/07/27/dragon-installed-to-stations-harmony-module-for-cargo-operations/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_17,Diphenhydramine,SpX-18,Capsule,2019-07-25,2019-07-25T22:01:00Z,2019-07-27,,robotic berthing; exact medication transfer time unknown,,,,257,6168,derived from published integer days; not exact timestamp duration,2020-04-07,launch date + reported integer days; NOT a verified landing,2019-07-27,2020-04-07,screening envelope only; includes unknown return transit and transfer periods,2019-07-27,2020-04-09,2,731,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2019/07/27/dragon-installed-to-stations-harmony-module-for-cargo-operations/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_18,Diphenhydramine,SpX-18,Solution,2019-07-25,2019-07-25T22:01:00Z,2019-07-27,,robotic berthing; exact medication transfer time unknown,,,,257,6168,derived from published integer days; not exact timestamp duration,2020-04-07,launch date + reported integer days; NOT a verified landing,2019-07-27,2020-04-07,screening envelope only; includes unknown return transit and transfer periods,2019-07-27,2020-04-09,2,1065,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2019/07/27/dragon-installed-to-stations-harmony-module-for-cargo-operations/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_19,Ketamine,SpX-18,Solution,2019-07-25,2019-07-25T22:01:00Z,2019-07-27,,robotic berthing; exact medication transfer time unknown,,,,257,6168,derived from published integer days; not exact timestamp duration,2020-04-07,launch date + reported integer days; NOT a verified landing,2019-07-27,2020-04-07,screening envelope only; includes unknown return transit and transfer periods,2019-07-27,2020-04-09,2,823,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2019/07/27/dragon-installed-to-stations-harmony-module-for-cargo-operations/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_20,Lidocaine,SpX-18,Solution,2019-07-25,2019-07-25T22:01:00Z,2019-07-27,,robotic berthing; exact medication transfer time unknown,,,,257,6168,derived from published integer days; not exact timestamp duration,2020-04-07,launch date + reported integer days; NOT a verified landing,2019-07-27,2020-04-07,screening envelope only; includes unknown return transit and transfer periods,2019-07-27,2020-04-09,2,670,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2019/07/27/dragon-installed-to-stations-harmony-module-for-cargo-operations/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_21,Naloxone,SpX-18,Solution,2019-07-25,2019-07-25T22:01:00Z,2019-07-27,,robotic berthing; exact medication transfer time unknown,,,,257,6168,derived from published integer days; not exact timestamp duration,2020-04-07,launch date + reported integer days; NOT a verified landing,2019-07-27,2020-04-07,screening envelope only; includes unknown return transit and transfer periods,2019-07-27,2020-04-09,2,1096,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2019/07/27/dragon-installed-to-stations-harmony-module-for-cargo-operations/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_22,Promethazine,SpX-18,Solution,2019-07-25,2019-07-25T22:01:00Z,2019-07-27,,robotic berthing; exact medication transfer time unknown,,,,257,6168,derived from published integer days; not exact timestamp duration,2020-04-07,launch date + reported integer days; NOT a verified landing,2019-07-27,2020-04-07,screening envelope only; includes unknown return transit and transfer periods,2019-07-27,2020-04-09,2,1096,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2019/07/27/dragon-installed-to-stations-harmony-module-for-cargo-operations/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_23,Promethazine,SpX-18,Tablet,2019-07-25,2019-07-25T22:01:00Z,2019-07-27,,robotic berthing; exact medication transfer time unknown,,,,257,6168,derived from published integer days; not exact timestamp duration,2020-04-07,launch date + reported integer days; NOT a verified landing,2019-07-27,2020-04-07,screening envelope only; includes unknown return transit and transfer periods,2019-07-27,2020-04-09,2,1157,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2019/07/27/dragon-installed-to-stations-harmony-module-for-cargo-operations/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_24,Caffeine,SpX-20,Tablet,2020-03-07,2020-03-07T04:50:00Z,2020-03-09,,robotic berthing; exact medication transfer time unknown,,,,313,7512,derived from published integer days; not exact timestamp duration,2021-01-14,launch date + reported integer days; NOT a verified landing,2020-03-09,2021-01-14,screening envelope only; includes unknown return transit and transfer periods,2020-03-09,2021-01-16,2,549,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2020/03/09/robotic-arm-captures-dragon-packed-with-science/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_25,Diazepam,SpX-20,Solution,2020-03-07,2020-03-07T04:50:00Z,2020-03-09,,robotic berthing; exact medication transfer time unknown,,,,972,23328,derived from published integer days; not exact timestamp duration,2022-11-04,launch date + reported integer days; NOT a verified landing,2020-03-09,2022-11-04,screening envelope only; includes unknown return transit and transfer periods,2020-03-09,2022-11-06,2,930,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2020/03/09/robotic-arm-captures-dragon-packed-with-science/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_26,Diphenhydramine,SpX-20,Capsule,2020-03-07,2020-03-07T04:50:00Z,2020-03-09,,robotic berthing; exact medication transfer time unknown,,,,490,11760,derived from published integer days; not exact timestamp duration,2021-07-10,launch date + reported integer days; NOT a verified landing,2020-03-09,2021-07-10,screening envelope only; includes unknown return transit and transfer periods,2020-03-09,2021-07-12,2,580,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2020/03/09/robotic-arm-captures-dragon-packed-with-science/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_27,Diphenhydramine,SpX-20,Solution,2020-03-07,2020-03-07T04:50:00Z,2020-03-09,,robotic berthing; exact medication transfer time unknown,,,,490,11760,derived from published integer days; not exact timestamp duration,2021-07-10,launch date + reported integer days; NOT a verified landing,2020-03-09,2021-07-10,screening envelope only; includes unknown return transit and transfer periods,2020-03-09,2021-07-12,2,823,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2020/03/09/robotic-arm-captures-dragon-packed-with-science/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_28,Ketamine,SpX-20,Solution,2020-03-07,2020-03-07T04:50:00Z,2020-03-09,,robotic berthing; exact medication transfer time unknown,,,,490,11760,derived from published integer days; not exact timestamp duration,2021-07-10,launch date + reported integer days; NOT a verified landing,2020-03-09,2021-07-10,screening envelope only; includes unknown return transit and transfer periods,2020-03-09,2021-07-12,2,670,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2020/03/09/robotic-arm-captures-dragon-packed-with-science/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_29,Lidocaine,SpX-20,Solution,2020-03-07,2020-03-07T04:50:00Z,2020-03-09,,robotic berthing; exact medication transfer time unknown,,,,490,11760,derived from published integer days; not exact timestamp duration,2021-07-10,launch date + reported integer days; NOT a verified landing,2020-03-09,2021-07-10,screening envelope only; includes unknown return transit and transfer periods,2020-03-09,2021-07-12,2,670,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2020/03/09/robotic-arm-captures-dragon-packed-with-science/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_30,Naloxone,SpX-20,Solution,2020-03-07,2020-03-07T04:50:00Z,2020-03-09,,robotic berthing; exact medication transfer time unknown,,,,573,13752,derived from published integer days; not exact timestamp duration,2021-10-01,launch date + reported integer days; NOT a verified landing,2020-03-09,2021-10-01,screening envelope only; includes unknown return transit and transfer periods,2020-03-09,2021-10-03,2,731,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2020/03/09/robotic-arm-captures-dragon-packed-with-science/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_31,Promethazine,SpX-20,Solution,2020-03-07,2020-03-07T04:50:00Z,2020-03-09,,robotic berthing; exact medication transfer time unknown,,,,490,11760,derived from published integer days; not exact timestamp duration,2021-07-10,launch date + reported integer days; NOT a verified landing,2020-03-09,2021-07-10,screening envelope only; includes unknown return transit and transfer periods,2020-03-09,2021-07-12,2,792,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2020/03/09/robotic-arm-captures-dragon-packed-with-science/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_32,Promethazine,SpX-20,Tablet,2020-03-07,2020-03-07T04:50:00Z,2020-03-09,,robotic berthing; exact medication transfer time unknown,,,,313,7512,derived from published integer days; not exact timestamp duration,2021-01-14,launch date + reported integer days; NOT a verified landing,2020-03-09,2021-01-14,screening envelope only; includes unknown return transit and transfer periods,2020-03-09,2021-01-16,2,1065,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2020/03/09/robotic-arm-captures-dragon-packed-with-science/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
