lot_id,api,mission,formulation,formulation_class,is_solid,dosage,packaging,manufacturer,launch_datetime,docking_datetime,departure_datetime,landing_datetime,days_in_space,iss_storage_days,days_expired,radiation_coverage_pct,cumulative_dose_sensor1_mGy,cumulative_dose_sensor2_mGy,cumulative_dose_combined_mGy,mean_dose_rate_uGy_h,median_dose_rate_uGy_h,max_dose_rate_uGy_h,p95_dose_rate_uGy_h,dose_rate_sd_uGy_h,pubchem_cid,molecular_weight,xlogp,tpsa,hbd,hba,rotatable_bonds,heavy_atom_count,complexity,flight_percent_api_remaining,ground_control_percent_api_remaining,delta_api_percent,stability_ratio_percent,sd_flight,sd_ground,anova_p_value,figure_source,outcome_confidence,exposure_confidence,radiation_confidence,spatial_relevance_grade,data_provenance_class
DS01_17,Diphenhydramine,SpX-18,Capsule,Solid,1,25 mg,Blister pack (MFR),Major,2019-07-25 22:01:00,2019-07-27 13:11:00,2020-04-07 13:06:00,2020-04-07 18:50:00,257,255.0,731,94.55,12.0265,67.6842,68.2526,31.5192,5.3302,776.8041,213.3628,89.0596,3100,255.35,3.3,12.5,0,2,6,19,211,94.1,95.2,-1.1555,98.8445,2.3,2.0,ns,Figure 2B,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_18,Diphenhydramine,SpX-18,Solution,Nonsolid,0,50 mg/mL,Single-dose vial (MFR),Hikma,2019-07-25 22:01:00,2019-07-27 13:11:00,2020-04-07 13:06:00,2020-04-07 18:50:00,257,255.0,1065,94.55,12.0265,67.6842,68.2526,31.5192,5.3302,776.8041,213.3628,89.0596,3100,255.35,3.3,12.5,0,2,6,19,211,99.4,91.8,8.2789,108.2789,3.0,2.5,P=0.0286,Figure 3B,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_19,Ketamine,SpX-18,Solution,Nonsolid,0,50 mg/mL,Multi-dose vial (MFR),Mylan,2019-07-25 22:01:00,2019-07-27 13:11:00,2020-04-07 13:06:00,2020-04-07 18:50:00,257,255.0,823,94.55,12.0265,67.6842,68.2526,31.5192,5.3302,776.8041,213.3628,89.0596,3821,237.72,2.2,29.1,1,2,2,16,269,79.8,81.3,-1.845,98.155,3.2,3.0,ns,Figure 3D,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_20,Lidocaine,SpX-18,Solution,Nonsolid,0,10 mg/mL,Multi-dose vial (MFR),Fresenius Kabi,2019-07-25 22:01:00,2019-07-27 13:11:00,2020-04-07 13:06:00,2020-04-07 18:50:00,257,255.0,670,94.55,12.0265,67.6842,68.2526,31.5192,5.3302,776.8041,213.3628,89.0596,3676,234.34,2.3,32.3,1,2,5,17,228,94.8,97.9,-3.1665,96.8335,2.5,2.2,P=0.0125,Figure 3E,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_21,Naloxone,SpX-18,Solution,Nonsolid,0,1 mg/mL,Syringe (MFR),International Mediation Systems,2019-07-25 22:01:00,2019-07-27 13:11:00,2020-04-07 13:06:00,2020-04-07 18:50:00,257,255.0,1096,94.55,12.0265,67.6842,68.2526,31.5192,5.3302,776.8041,213.3628,89.0596,5284596,327.4,2.1,70.0,2,5,2,24,594,92.5,95.8,-3.4447,96.5553,2.8,2.5,P=0.0080,Figure 3F,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_22,Promethazine,SpX-18,Solution,Nonsolid,0,25 mg/mL,Single-dose vial (MFR),Hikma,2019-07-25 22:01:00,2019-07-27 13:11:00,2020-04-07 13:06:00,2020-04-07 18:50:00,257,255.0,1096,94.55,12.0265,67.6842,68.2526,31.5192,5.3302,776.8041,213.3628,89.0596,4927,284.4,4.8,31.8,0,3,3,20,298,76.4,78.9,-3.1686,96.8314,3.7,3.3,ns,Figure 3G,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_23,Promethazine,SpX-18,Tablet,Solid,1,25 mg,Blister pack (MFR),McKesson,2019-07-25 22:01:00,2019-07-27 13:11:00,2020-04-07 13:06:00,2020-04-07 18:50:00,257,255.0,1157,94.55,12.0265,67.6842,68.2526,31.5192,5.3302,776.8041,213.3628,89.0596,4927,284.4,4.8,31.8,0,3,3,20,298,99.8,103.6,-3.668,96.332,2.5,2.2,P=0.0001,Figure 2C,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_24,Caffeine,SpX-20,Tablet,Solid,1,200 mg,Amber ziplock (JSC),Walgreens,2020-03-07 04:50:00,2020-03-09 10:25:00,2021-01-12 14:05:00,2021-01-14 01:26:00,313,309.15,549,90.31,0.0,81.1558,81.1558,29.0311,5.2039,764.4428,193.0109,86.2282,2519,194.19,-0.1,58.4,0,3,0,14,293,92.1,98.6,-6.5923,93.4077,2.1,2.0,ns,Figure 2A,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_25,Diazepam,SpX-20,Solution,Nonsolid,0,5 mg/mL,Multi-dose vial (MFR),Hospira,2020-03-07 04:50:00,2020-03-09 10:25:00,2022-11-03 16:00:00,2022-11-04 19:55:00,972,969.23,930,76.74,124.9766,203.7455,217.0879,31.151,5.25,865.2253,209.0334,92.0874,3016,284.74,3.0,32.7,0,2,1,20,403,91.9,93.5,-1.7112,98.2888,3.1,2.8,ns,Figure 3A,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),MEDIUM,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_26,Diphenhydramine,SpX-20,Capsule,Solid,1,25 mg,Blister pack (MFR),Major,2020-03-07 04:50:00,2020-03-09 10:25:00,2021-07-08 14:40:00,2021-07-10 03:29:00,490,486.18,580,93.81,40.4839,131.6273,133.8133,30.657,5.2406,865.2253,205.3257,90.8199,3100,255.35,3.3,12.5,0,2,6,19,211,93.9,94.7,-0.8448,99.1552,2.6,2.4,ns,Figure 2B,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_27,Diphenhydramine,SpX-20,Solution,Nonsolid,0,50 mg/mL,Single-dose vial (MFR),Fresenius Kabi,2020-03-07 04:50:00,2020-03-09 10:25:00,2021-07-08 14:40:00,2021-07-10 03:29:00,490,486.18,823,93.81,40.4839,131.6273,133.8133,30.657,5.2406,865.2253,205.3257,90.8199,3100,255.35,3.3,12.5,0,2,6,19,211,98.7,92.9,6.2433,106.2433,2.8,2.7,P=0.0286,Figure 3B,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_28,Ketamine,SpX-20,Solution,Nonsolid,0,50 mg/mL,Multi-dose vial (MFR),Mylan,2020-03-07 04:50:00,2020-03-09 10:25:00,2021-07-08 14:40:00,2021-07-10 03:29:00,490,486.18,670,93.81,40.4839,131.6273,133.8133,30.657,5.2406,865.2253,205.3257,90.8199,3821,237.72,2.2,29.1,1,2,2,16,269,78.5,80.9,-2.9666,97.0334,3.4,2.9,ns,Figure 3D,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_29,Lidocaine,SpX-20,Solution,Nonsolid,0,10 mg/mL,Multi-dose vial (MFR),Fresenius Kabi,2020-03-07 04:50:00,2020-03-09 10:25:00,2021-07-08 14:40:00,2021-07-10 03:29:00,490,486.18,670,93.81,40.4839,131.6273,133.8133,30.657,5.2406,865.2253,205.3257,90.8199,3676,234.34,2.3,32.3,1,2,5,17,228,95.3,98.1,-2.8542,97.1458,2.4,2.0,P=0.0125,Figure 3E,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_30,Naloxone,SpX-20,Solution,Nonsolid,0,1 mg/mL,Syringe (MFR),International Mediation Systems,2020-03-07 04:50:00,2020-03-09 10:25:00,2021-09-30 13:12:00,2021-10-01 02:57:00,573,570.12,731,94.71,66.2676,154.8424,158.3981,30.9193,5.2634,865.2253,206.9417,91.4788,5284596,327.4,2.1,70.0,2,5,2,24,594,91.8,95.1,-3.47,96.53,2.6,2.2,P=0.0080,Figure 3F,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_31,Promethazine,SpX-20,Solution,Nonsolid,0,25 mg/mL,Single-dose vial (MFR),Hikma,2020-03-07 04:50:00,2020-03-09 10:25:00,2021-07-08 14:40:00,2021-07-10 03:29:00,490,486.18,792,93.81,40.4839,131.6273,133.8133,30.657,5.2406,865.2253,205.3257,90.8199,4927,284.4,4.8,31.8,0,3,3,20,298,75.8,79.1,-4.1719,95.8281,3.8,3.5,ns,Figure 3G,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_32,Promethazine,SpX-20,Tablet,Solid,1,25 mg,Blister pack (MFR),McKesson,2020-03-07 04:50:00,2020-03-09 10:25:00,2021-01-12 14:05:00,2021-01-14 01:26:00,313,309.15,1065,90.31,0.0,81.1558,81.1558,29.0311,5.2039,764.4428,193.0109,86.2282,4927,284.4,4.8,31.8,0,3,3,20,298,98.1,102.4,-4.1992,95.8008,2.6,2.3,P=0.0001,Figure 2C,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
