lot_id,api,mission,launch_datetime,docking_datetime,departure_datetime,landing_datetime,days_in_space,boundary_provenance,date_status,departure_issue
DS01_01,Caffeine,SpX-15,2018-06-29 09:42:00,2018-07-02 10:54:00,2019-01-13 23:33:00,2019-01-14 05:10:00,199,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_12,Diphenhydramine,NG-11,2019-04-17 20:46:00,2019-04-19 11:30:00,2019-08-06 13:30:00,2019-08-27 20:20:00,132,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,True
DS01_13,Lidocaine,NG-11,2019-04-17 20:46:00,2019-04-19 11:30:00,2019-08-06 13:30:00,2019-08-27 20:20:00,132,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,True
DS01_14,Promethazine,NG-11,2019-04-17 20:46:00,2019-04-19 11:30:00,2019-08-06 13:30:00,2019-08-27 20:20:00,132,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,True
DS01_15,Caffeine,SpX-18,2019-07-25 22:01:00,2019-07-27 13:11:00,2020-01-07 10:05:00,2020-01-07 15:41:00,166,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_16,Diazepam,SpX-18,2019-07-25 22:01:00,2019-07-27 13:11:00,2020-01-07 10:05:00,2020-01-07 15:41:00,166,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_17,Diphenhydramine,SpX-18,2019-07-25 22:01:00,2019-07-27 13:11:00,2020-04-07 13:06:00,2020-04-07 18:50:00,257,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_18,Diphenhydramine,SpX-18,2019-07-25 22:01:00,2019-07-27 13:11:00,2020-04-07 13:06:00,2020-04-07 18:50:00,257,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_19,Ketamine,SpX-18,2019-07-25 22:01:00,2019-07-27 13:11:00,2020-04-07 13:06:00,2020-04-07 18:50:00,257,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_20,Lidocaine,SpX-18,2019-07-25 22:01:00,2019-07-27 13:11:00,2020-04-07 13:06:00,2020-04-07 18:50:00,257,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_21,Naloxone,SpX-18,2019-07-25 22:01:00,2019-07-27 13:11:00,2020-04-07 13:06:00,2020-04-07 18:50:00,257,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_22,Promethazine,SpX-18,2019-07-25 22:01:00,2019-07-27 13:11:00,2020-04-07 13:06:00,2020-04-07 18:50:00,257,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_23,Promethazine,SpX-18,2019-07-25 22:01:00,2019-07-27 13:11:00,2020-04-07 13:06:00,2020-04-07 18:50:00,257,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_24,Caffeine,SpX-20,2020-03-07 04:50:00,2020-03-09 10:25:00,2021-01-12 14:05:00,2021-01-14 01:26:00,313,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_25,Diazepam,SpX-20,2020-03-07 04:50:00,2020-03-09 10:25:00,2022-11-03 16:00:00,2022-11-04 19:55:00,972,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_26,Diphenhydramine,SpX-20,2020-03-07 04:50:00,2020-03-09 10:25:00,2021-07-08 14:40:00,2021-07-10 03:29:00,490,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_27,Diphenhydramine,SpX-20,2020-03-07 04:50:00,2020-03-09 10:25:00,2021-07-08 14:40:00,2021-07-10 03:29:00,490,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_28,Ketamine,SpX-20,2020-03-07 04:50:00,2020-03-09 10:25:00,2021-07-08 14:40:00,2021-07-10 03:29:00,490,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_29,Lidocaine,SpX-20,2020-03-07 04:50:00,2020-03-09 10:25:00,2021-07-08 14:40:00,2021-07-10 03:29:00,490,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_30,Naloxone,SpX-20,2020-03-07 04:50:00,2020-03-09 10:25:00,2021-09-30 13:12:00,2021-10-01 02:57:00,573,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_31,Promethazine,SpX-20,2020-03-07 04:50:00,2020-03-09 10:25:00,2021-07-08 14:40:00,2021-07-10 03:29:00,490,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_32,Promethazine,SpX-20,2020-03-07 04:50:00,2020-03-09 10:25:00,2021-01-12 14:05:00,2021-01-14 01:26:00,313,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
